Sample	Library	Std	Kind	Length	Occurences
*	*	+	se	35	1148
*	*	+	se	36	1153
*	*	+	se	37	1118
*	*	+	se	38	1155
*	*	+	se	39	1089
*	*	+	se	40	1002
*	*	+	se	41	970
*	*	+	se	42	1086
*	*	+	se	43	994
*	*	+	se	44	1008
*	*	+	se	45	1011
*	*	+	se	46	935
*	*	+	se	47	802
*	*	+	se	48	785
*	*	+	se	49	813
*	*	+	se	50	741
*	*	+	se	51	690
*	*	+	se	52	694
*	*	+	se	53	622
*	*	+	se	54	560
*	*	+	se	55	567
*	*	+	se	56	502
*	*	+	se	57	465
*	*	+	se	58	513
*	*	+	se	59	456
*	*	+	se	60	388
*	*	+	se	61	396
*	*	+	se	62	341
*	*	+	se	63	326
*	*	+	se	64	337
*	*	+	se	65	317
*	*	+	se	66	303
*	*	+	se	67	315
*	*	+	se	68	288
*	*	+	se	69	262
*	*	+	se	70	227
*	*	+	se	71	239
*	*	+	se	72	192
*	*	+	se	73	1
*	*	+	se	74	1
*	*	+	se	75	2426
*	*	-	se	35	1065
*	*	-	se	36	1088
*	*	-	se	37	1117
*	*	-	se	38	1039
*	*	-	se	39	1091
*	*	-	se	40	1029
*	*	-	se	41	1007
*	*	-	se	42	1072
*	*	-	se	43	1010
*	*	-	se	44	991
*	*	-	se	45	914
*	*	-	se	46	917
*	*	-	se	47	879
*	*	-	se	48	843
*	*	-	se	49	796
*	*	-	se	50	742
*	*	-	se	51	675
*	*	-	se	52	674
*	*	-	se	53	658
*	*	-	se	54	563
*	*	-	se	55	599
*	*	-	se	56	535
*	*	-	se	57	470
*	*	-	se	58	534
*	*	-	se	59	404
*	*	-	se	60	373
*	*	-	se	61	401
*	*	-	se	62	333
*	*	-	se	63	310
*	*	-	se	64	358
*	*	-	se	65	344
*	*	-	se	66	341
*	*	-	se	67	302
*	*	-	se	68	275
*	*	-	se	69	269
*	*	-	se	70	227
*	*	-	se	71	212
*	*	-	se	72	196
*	*	-	se	75	2418
