Name,TaxID
Chiropotes sagulatus,3134011
Cebus castaneus,3128532
Saguinus martinsi ochraceus,3104633
unclassified Simiiformes,3085341
unclassified Callitrichinae,3085340
Papionini sp.,3074504
unclassified Cercopithecinae,3074503
Eulemur macaco rufus,3074501
Cercocebus lunulatus,3074498
Avahi meridionalis,3061928
Hapalemur meridionalis,3043112
Cheirogaleus grovesi,3043111
Hapalemur gilberti,3043110
Cheirogaleus andysabini,3043109
Microcebus manitatra,3043108
Microcebus boraha,3043107
Cheirogaleus shethi,3043106
Avahi betsileo,3043105
Paragalago granti,3043104
Allocebus trichotus,3043103
Xanthonycticebus sp. i MB-2023,3030689
unclassified Xanthonycticebus,3030688
Nycticebus kayan,3030687
Nycticebus borneanus,3030686
Xanthonycticebus,3030685
Macaca fascicularis x Macaca mulatta,3016450
Saguinus sp. k TH-2022,2979366
Saguinus mystax pluto,2979365
Saguinus mystax pileatus,2979364
Cercopithecus sp. T2678,2959331
Cercopithecus sp. T2648,2959330
Cercopithecus sp. T2665,2959329
Cercopithecus sp. Y40,2959328
Cercopithecus sp. Y36,2959327
Cercopithecus sp. T2649,2959326
Cercopithecus sp. T2610,2959325
Cercocebus sp. Y45,2959324
unclassified Cercocebus,2959323
Cercopithecus sp. T2685,2959313
Cercopithecus sp. T2682,2959312
Cercopithecus sp. T2647,2959311
Cercopithecus sp. T2689,2959310
Cercopithecus sp. T2690,2959309
Cercopithecus sp. T2688,2959308
Cercopithecus sp. T2681,2959307
Cercopithecus sp. T2632,2959306
Cercopithecus sp. T2601,2959305
Cercopithecus sp. T1714,2959304
Cercopithecus sp. T1676,2959303
Cercopithecus sp. T1713,2959302
Cercopithecus sp. T2619,2959301
Cercopithecus sp. T2598,2959300
Saguinus sp. SMAR567,2952800
Saguinus sp. SMA57,2952799
Saguinus sp. SBB1115,2952798
Saguinus sp. SBB1000,2952797
Saguinus sp. CTGA163,2952796
Saguinus sp. SMI1278,2952771
Saguinus sp. INUSTUS708,2952770
Saguinus sp. INUSTUS723,2952769
Saguinus sp. SIM_F,2952768
Saguinus sp. SG20,2952767
Saguinus sp. SG15,2952766
Saguinus sp. SG25,2952765
Saguinus sp. SMI250,2952764
Saguinus sp. SMI257,2952763
Saguinus sp. CN287,2952762
Saguinus sp. CN274,2952761
Saguinus sp. CN232,2952760
Saguinus sp. SMIRC21,2952759
Saguinus sp. MJ-2022,2946525
Pithecia sp. MJ-2022,2946524
Mico sp. n. MJ-2022,2946523
Saimiri macrodon,2946522
Saimiri cassiquiarensis,2946521
Plecturocebus dubius,2946520
Pithecia vanzolinii,2946519
Pithecia pissinatti,2946518
Pithecia mittermeieri,2946517
Pithecia hirsuta,2946516
Pithecia chrysocephala,2946515
Pithecia albicans,2946514
Cacajao calvus ucayalii,2946513
Alouatta juara,2946512
Cacajao sp. a FES-2022,2937889
Nycticebus hilleri,2933639
Saguinus sp. SG26,2931051
Saguinus sp. TMDSU,2931050
Saguinus sp. SW4466,2931049
Saguinus sp. SOEDCALI,2931048
Saguinus sp. SLEUCALI,2931047
Saguinus sp. SMI218,2931046
Saguinus sp. SG19,2931045
Saguinus sp. SG17,2931044
Saguinus sp. INUSTUS706,2931043
Tarsius pumilus,2925011
Hominidae sp.,2922388
unclassified Hominidae,2922387
Saguinus labiatus rufiventer,2918764
Saguinus ursulus,2918763
Leontocebus fuscus,2918762
Saguinus sp. SBBXSMA711,2918757
Saguinus sp. SMIXSBB,2918756
Alouatta ululata,2905218
Alouatta discolor,2905217
Homo sapiens x Pan troglodytes tetraploid cell line,2883641
Hominidae intergeneric hybrids,2883640
Callithrix sp. BJT022,2873328
Mico schneideri,2850016
unclassified Mico,2850015
Hylobates lar x Hylobates pileatus,2841023
Plecturocebus discolor,2839868
Pithecia aequatorialis,2839867
Macaca sp. XT-2021,2838830
Cebuella niveiventris,2826950
Presbytis sp. Pres2,2822462
Homo sp.,2813599
unclassified Homo,2813598
Semnopithecus ajax,2805936
Sapajus sp. Pr035,2805706
Semnopithecus schistaceus,2804203
Hylobates sp. KM-2020,2768846
Hylobates agilis x Hylobates albibarbis,2768845
Nomascus leucogenys x Nomascus gabriellae,2768844
Macaca togeanus,2767338
Callithrix sp. 18 JM-2020,2765903
Callithrix sp. 17 JM-2020,2765902
Callithrix sp. 16 JM-2020,2765901
Callithrix sp. 15 JM-2020,2765900
Callithrix sp. 14 JM-2020,2765899
Callithrix sp. 13 JM-2020,2765898
Callithrix sp. 12 JM-2020,2765897
Callithrix sp. 11 JM-2020,2765896
Callithrix sp. 10 JM-2020,2765895
Callithrix sp. 9 JM-2020,2765894
Callithrix sp. 8 JM-2020,2765893
Callithrix sp. 7 JM-2020,2765892
Callithrix sp. 6 JM-2020,2765891
Callithrix sp. 5 JM-2020,2765890
Callithrix sp. 4 JM-2020,2765889
Callithrix sp. 3 JM-2020,2765888
Callithrix sp. 2 JM-2020,2765887
Callithrix sp. 1 JM-2020,2765886
unclassified Callithrix,2765885
Pongo pygmaeus wurmbii,2753606
Pongo pygmaeus morio,2753605
Ateles sp. Ate-2,2746758
Ateles sp. Ate-1,2746757
Chiropotes sp. CTGAM5363,2736752
Microcebus sp. JM-2020,2735722
Cebus imitator,2715852
Pithecia sp. UFPA Pit22,2704458
Cacajao sp. CTGAM5666,2704457
unclassified Cacajao,2704456
Chiropotes sp. CTGAM5663,2704455
unclassified Aotus (in: primates),2688256
unclassified Chlorocebus,2685534
Microcebus sp. south Manambery,2683930
Leontocebus,2681187
unclassified Propithecus,2677806
Homo sapiens environmental sample,2665953
environmental samples,2665952
unclassified Presbytis,2651172
Callicebus sp. n. GD-2019,2650809
unclassified Chiropotes,2649368
unclassified Hylobates,2647113
unclassified Nycticebus,2646861
unclassified Pithecia,2646430
unclassified Lagothrix,2645779
unclassified Lepilemur,2645584
unclassified Rhinopithecus,2644350
unclassified Saguinus,2642123
unclassified Lemur,2641939
unclassified Saimiri,2635411
unclassified Callimico,2634122
unclassified Semnopithecus,2632571
unclassified Papio,2632072
unclassified Microcebus,2630091
unclassified Galago,2628747
unclassified Mirza,2628182
unclassified Callicebus,2627897
unclassified Pongo,2624844
unclassified Tarsius,2624233
unclassified Trachypithecus,2623509
unclassified Macaca,2623225
unclassified Megaladapis,2620125
unclassified Sapajus,2619504
unclassified Palaeopropithecus,2619300
unclassified Colobus,2618863
unclassified Cebus,2618788
unclassified Cercopithecus,2618071
Paragalago zanzibaricus,2604443
Paragalago cocos,2604442
Paragalago,2604441
Mico munduruku,2592808
Mico marcai,2592807
Mico leucippe,2592806
Mico intermedius,2592805
Saguinus oedipus x Saguinus leucopus,2586294
Saguinus geoffroyi x Saguinus leucopus,2586293
Cephalopachus bancanus borneanus,2567999
Lagothrix tschudii,2565306
Lagothrix flavicauda,2565305
Cheirogaleus cf. medius RW-2019,2563322
Microcebus sp. 3 GT-2019,2508170
Xenothrix mcgregori,2490931
Xenothrix,2490930
Xenothricinae,2490929
Plecturocebus grovesi,2488670
Alouatta palliata x Alouatta pigra,2487933
Plecturocebus vieirai,2487713
Cheracebus lucifer,2487712
Microcebus ganzhorni,2483760
Chlorocebus sp. LDS-2018,2282232
Chlorocebus pygerythrus x Chlorocebus aethiops,2269071
Nomascus cf. leucogenys SSH-2018,2170374
Nomascus leucogenys x Nomascus siki,2170373
Nomascus gabriellae x Nomascus siki,2170372
Sapajus sp. M39 FD-2018,2093840
Sapajus sp. M12 FD-2018,2093839
Sapajus sp. M5 FD-2018,2093838
Sapajus sp. 22 FD-2018,2093837
Sapajus sp. 10 FD-2018,2093836
Sapajus sp. 9 FD-2018,2093835
Allochrocebus,2059839
Pongo tapanuliensis,2051901
Hylobates sp. OH-2017,2023128
